time,gtx,gty,gtx2,gty2,gt_motion_readings,synthetic_motion_readings
1499198700,2.9,4.441138,2.9,4.441138,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499198703,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
1499198706,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
1499198709,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
1499198712,3.911352,2.756236,6.1817338,2.712473,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
1499198715,3.911352,2.756236,6.1817338,2.712473,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",
1499198718,3.911352,2.756236,6.1817338,2.712473,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",
1499198721,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",
1499198724,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",
1499198727,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",
1499198730,3.911352,2.756236,6.1817338,2.712473,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
1499198733,3.911352,2.756236,6.1817338,2.712473,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
1499198736,3.911352,2.756236,6.1817338,2.712473,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
1499198739,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",
1499198742,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",
1499198745,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",
1499198748,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",
1499198751,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",
1499198754,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
1499198757,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
1499198760,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",
1499198763,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",
1499198766,3.911352,2.756236,6.1817338,2.712473,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]",
1499198769,2.099575,7.325894,3.587957,5.397337,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",
1499198772,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",
1499198775,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",
1499198778,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",
1499198781,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",
1499198784,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499198787,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499198790,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",
1499198793,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499198796,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499198799,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",
1499198802,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",
1499198805,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",
1499198808,2.012487,7.526477,2.012487,7.526477,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",
1499198811,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
1499198814,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
1499198817,2.012487,7.526477,2.012487,7.526477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
1499198820,3.78778,5.131636,2.331896,7.095792,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
1499198823,4.736945,4.419256,6.0529293,4.426434,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
1499198826,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499198829,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499198832,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499198835,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499198838,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499198841,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499198844,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499198847,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499198850,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499198853,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
1499198856,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",
1499198859,4.736945,4.419256,6.0702787,4.436761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
