time,gtx,gty,gtx2,gty2,gt_motion_readings,synthetic_motion_readings
1499181840,2.8999999999999995,4.441138,2.8999999999999995,4.441138,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181843,3.5010189999999994,4.811061,3.864686,4.374684,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499181846,4.035190999999999,5.139842,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",
1499181849,4.035190999999999,5.139622,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",
1499181852,4.035190999999999,5.139402,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181855,4.035190999999999,5.139182,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181858,4.035190999999999,5.139182,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181861,4.035190999999999,5.138962,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181864,4.035190999999999,5.138741,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181867,4.035190999999999,5.138522,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",
1499181870,4.035190999999999,5.138303,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181873,4.035190999999999,5.138083,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181876,4.035190999999999,5.137863,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181879,4.035190999999999,5.137423,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181882,4.035190999999999,5.137203,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181885,4.035190999999999,5.136983,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181888,4.035190999999999,5.136763,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181891,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181894,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",
1499181897,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181900,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181903,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181906,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",
1499181909,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1499181912,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",
1499181915,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
1499181918,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
1499181921,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
1499181924,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",
1499181927,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
1499181930,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
1499181933,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
1499181936,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",
1499181939,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",
1499181942,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",
1499181945,4.035190999999999,5.136543,4.4183699999999995,4.336543,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",
1499181948,4.0397479999999995,5.495306,4.037808999999999,4.809215,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",
1499181951,4.040592,5.525432,4.036484,4.81121,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",
1499181954,3.6628139999999996,5.91432,3.6628139999999996,5.292099,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",
1499181957,3.615509,5.963016,3.6312359999999995,5.332034,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
1499181960,3.2850369999999995,6.30321,3.2850369999999995,5.769876,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",
