start of session,x,y
1499198743,65,340
1499198763,65,340
1499198772,570,890
1499198811,570,890
1499198819,80,540
1499198906,80,540
1499198922,340,330
1499198975,340,330
1499199009,340,330
1499199118,340,330
1499199134,340,330
1499199187,340,330
1499199351,340,330
1499199353,340,330
1499199375,340,330
1499199445,340,330
1499199493,340,330
1499199502,340,330
1499199546,340,330
1499199548,340,330
1499199886,340,330
1499199888,340,345
1499200476,340,345
1499200494,640,650
1499200566,640,650
1499200575,640,490
1499200581,640,490
1499200591,340,345
1499200605,240,470
1499200637,420,50
1499200749,420,50
1499200760,240,470
1499200765,240,470
1499200773,640,490
1499200779,640,650
1499200918,640,650
1499200919,640,740
1499201008,640,740
1499201009,640,650
1499201010,640,650
1499201063,640,650
1499201064,640,490
1499201127,640,490
1499201134,640,490
1499201164,640,490
1499201169,240,540
1499201223,240,540
1499201269,240,540
1499201276,295,710
1499201288,295,710
1499201294,50,940
1499201319,50,940
1499201325,295,710
1499201351,295,710
1499201355,250,1020
1499201360,250,1020
1499201416,250,1020
1499201437,295,710
1499201472,50,660
1499201488,50,660
1499201489,50,660
1499201493,185,1020
1499201514,185,1020
1499201517,185,1020
1499201523,295,710
1499201660,295,710
1499201666,250,1020
1499201683,250,1020
1499201687,295,710
1499201696,295,710
1499201698,250,1020
1499201717,250,1020
1499201725,50,660
1499201744,185,1020
1499201767,295,710
1499201773,50,660
1499201194,295,710
1499201888,295,710
1499201890,185,1020
1499201900,295,710
1499201908,295,710
1499201912,250,1020
1499201921,295,710
1499201937,150,885
1499201951,50,660
1499201969,50,660
1499201971,295,710
1499202044,295,710
1499202057,295,710
1499202077,295,710
1499202079,240,540
1499202091,240,540
1499202098,240,470
1499202133,240,470
1499202140,185,1020
1499202146,185,1020
1499202154,185,1020
1499202163,185,1020
1499202169,185,1020
1499202175,185,1020
1499202181,185,1020
1499202186,240,540
1499202192,295,710
1499202194,295,710
1499202199,295,710
1499202203,1040,540
1499202207,1040,540
1499202210,250,1020
1499202220,295,710
1499202234,295,710
1499202237,240,470
1499202241,295,710
1499202268,295,710
1499202275,240,470
1499202281,50,660
1499202302,240,470
1499203000,240,470
1499203005,295,710
1499203023,295,710
1499203024,50,940
1499203029,50,940
1499203033,50,940
1499203067,50,940
1499203070,50,940
1499203074,50,940
1499203366,50,940
1499203370,240,540
1499203389,240,540
1499203395,240,540
1499203407,240,540
1499203409,240,470
1499203414,240,470
1499203419,50,940
1499203431,50,940
1499203436,50,940
1499203442,50,940
1499203448,295,710
1499203451,295,710
1499203456,295,710
1499203472,240,470
1499203482,240,470
1499203489,570,890
1499203514,570,890
1499203522,150,885
1499203559,150,885
1499203577,295,710
1499203586,350,510
1499203609,350,510
1499203611,570,890
1499203639,570,890
1499203645,325,710
1499203653,240,470
1499203663,240,470
1499203669,570,890
1499203707,570,890
1499203716,570,890
1499203732,250,1020
1499203741,570,890
1499203758,570,890
1499203791,570,890
1499203796,50,840
1499203803,570,890
1499203819,570,890
1499203824,50,840
1499203894,50,840
1499203901,570,890
1499203904,50,840
1499203910,50,840
1499204104,50,840
1499204107,570,890
1499204120,570,890
1499204125,50,840
1499204131,570,890
1499204135,570,890
1499204141,50,840
1499204159,50,840
1499204175,65,340
1499204626,65,340
1499204629,65,340
1499205148,65,340
1499205153,65,340
1499205315,65,340
1499205320,65,340
1499205559,65,340
1499205583,65,340
1499205600,65,340
1499205610,65,340
1499205629,65,340
1499202630,65,340
1499205754,65,340
1499205762,340,345
1499205770,340,345
