start of session,x,y
1499181856,240,540
1499181873,240,540
1499181882,570,890
1499181888,570,890
1499181893,570,890
1499181895,240,540
1499181901,240,540
1499181903,570,890
1499181930,570,890
1499181939,80,540
1499181949,240,540
1499181985,240,540
1499182002,340,330
1499182082,340,330
1499182083,340,330
1499182126,340,330
1499182130,340,330
1499182144,340,330
1499182264,340,330
1499182272,340,330
1499182352,340,330
1499182355,340,330
1499182535,340,330
1499182536,340,330
1499182578,340,330
1499182579,340,330
1499182633,340,330
1499182656,340,330
1499182661,340,330
1499182666,340,330
1499182928,340,330
1499182930,340,345
1499182982,340,345
1499182990,640,650
1499183054,640,650
1499183085,420,50
1499183177,420,50
1499183184,640,650
1499183237,640,650
1499183245,640,740
1499183344,640,740
1499183348,640,650
1499183358,640,650
1499183359,640,490
1499183423,640,490
1499183439,295,710
1499183479,340,345
1499184369,340,345
1499184381,100,660
1499184386,50,840
1499184396,295,710
1499184407,295,710
1499184412,295,710
1499184415,215,710
1499184429,215,710
1499184434,215,710
1499184441,185,1020
1499184451,50,940
1499184483,50,940
1499184487,185,1020
1499184497,295,710
1499184517,295,710
1499184522,295,710
1499184524,215,710
1499184528,185,1020
1499184553,185,1020
1499184562,295,710
1499184567,295,710
1499184577,295,710
1499184602,295,710
1499184595,50,660
1499184604,50,660
1499184626,50,660
1499184632,50,660
1499184639,295,710
1499184649,295,710
1499184680,295,710
1499184687,295,710
1499184746,295,710
1499184759,295,710
1499184820,295,710
1499184830,295,710
1499184848,295,710
1499184852,295,710
1499184859,50,840
1499184868,185,1020
1499184877,185,1020
1499184882,185,1020
1499184891,185,1020
1499184905,185,1020
1499184912,185,1020
1499184914,215,710
1499184916,215,710
1499184928,215,710
1499184933,215,710
1499184936,215,710
1499184944,215,710
1499184947,215,710
1499184958,50,660
1499184964,295,710
1499184979,295,710
1499184990,295,710
1499185005,295,710
1499185812,295,710
1499185822,240,540
1499186950,240,540
1499186953,240,540
1499186959,295,710
1499186962,295,710
1499186965,240,540
1499186969,240,540
1499186989,240,540
1499186995,50,940
1499187309,50,940
1499187312,50,940
1499187352,250,1020
1499187358,250,1020
1499187372,250,1020
1499187382,250,1020
1499187397,250,1020
1499187424,50,840
1499187455,215,710
1499187518,240,540
1499187552,240,540
1499187562,325,710
1499187621,325,710
1499187622,570,890
1499187645,325,710
1499187667,150,885
1499187672,150,885
1499187684,150,885
1499187710,150,885
1499187732,150,885
1499187737,150,885
1499187745,150,885
1499187745,350,800
1499187795,350,800
1499187821,350,800
1499187847,240,540
1499187886,240,540
1499187919,325,710
1499187928,325,710
1499187933,570,890
1499187939,570,890
1499188090,570,890
1499188097,50,840
1499188122,50,840
1499188127,570,890
1499188148,570,890
1499188153,50,840
1499188473,50,840
1499188479,570,890
1499188488,570,890
1499188493,50,840
1499188499,570,890
1499188511,50,840
1499188522,240,540
1499188531,65,340
1499188879,65,340
1499188883,65,340
1499189183,65,340
1499189189,65,340
1499189278,65,340
1499189286,65,340
1499189293,65,340
1499189311,65,340
1499189316,65,340
1499190282,65,340
1499190287,65,340
1499190290,65,340
1499190295,65,340
1499190310,65,340
1499190316,65,340
1499190327,65,340
1499190332,65,340
1499190339,65,340
1499190717,65,340
1499190722,340,345
