1498670648,80,540,cook
1498670648,80,540,cook
1498670648,80,540,cook
1498670649,80,540,cook
1498670652,80,540,cook
1498670655,80,540,cook
1498670658,80,540,cook
1498670661,80,540,cook
1498670664,80,540,cook
1498670667,80,540,cook
1498670670,80,540,cook
1498670673,80,540,cook
1498670676,80,540,cook
1498670679,80,540,cook
1498670682,80,540,cook
1498670685,80,540,cook
1498670688,80,540,cook
1498670691,80,540,cook
1498670694,80,540,cook
1498670697,80,540,cook
1498670700,80,540,cook
1498670703,80,540,cook
1498670706,80,540,cook
1498670709,80,540,cook
1498670712,80,540,cook
1498670715,80,540,cook
1498670718,80,540,cook
1498670721,340,330,cook
1498670724,340,330,cook
1498670727,340,330,cook
1498670730,340,330,cook
1498670733,340,330,cook
1498670736,340,330,cook
1498670739,340,330,cook
1498670742,340,330,cook
1498670745,340,330,cook
1498670748,340,330,cook
1498670751,340,330,cook
1498670754,340,330,cook
1498670757,340,330,cook
1498670760,340,330,cook
1498670763,340,330,cook
1498670766,340,330,cook
1498670769,340,330,cook
1498670772,340,330,cook
1498670775,340,330,cook
1498670778,340,330,cook
1498670781,340,330,cook
1498670784,340,330,cook
1498670787,340,330,cook
1498670790,340,330,cook
1498670793,340,330,cook
1498670796,340,330,cook
1498670799,340,330,cook
1498670802,340,330,cook
1498670805,340,330,cook
1498670808,340,330,cook
1498670811,340,330,cook
1498670814,340,330,cook
1498670817,340,330,cook
1498670820,340,330,cook
1498670823,340,330,cook
1498670826,340,330,cook
1498670829,340,330,cook
1498670832,340,330,cook
1498670835,340,330,cook
1498670838,340,330,cook
1498670841,340,330,cook
1498670844,340,330,cook
1498670847,340,330,cook
1498670850,340,330,cook
1498670853,340,330,cook
1498670856,340,330,cook
1498670859,340,330,cook
1498670862,340,330,cook
1498670865,340,330,cook
1498670868,340,330,cook
1498670871,340,330,cook
1498670874,340,330,cook
1498670877,340,330,cook
1498670880,340,330,cook
1498670883,340,330,cook
1498670886,340,330,cook
1498670889,340,330,cook
1498670892,340,330,cook
1498670895,340,330,cook
1498670898,340,330,cook
1498670901,340,330,cook
1498670904,340,330,cook
1498670907,340,330,cook
1498670910,340,330,cook
1498670913,340,330,cook
1498670916,340,330,cook
1498670919,340,330,cook
1498670922,340,330,cook
